	Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.           Anthosigmella sp.	OTT:448233	Cliona
	mosquito	NCBI:1187346	Diptera
	Psocoptera	OTT:4188758	Psocoptera
	Diptera 1	NCBI:1187402	Diptera
	Difflugia	GBIF:5428692	Difflugia
	Cyprinus carpio	OTT:255960	Cyprinus carpio
	Potunus sp.	WORMS:106930	Portunus
	Diaphanosoma brachyum	GBIF:3258937	Ctenopoda
	Amphora marina	NCBI:1938421	Curculionidae
	Pomolobus pseudoharengus	WORMS:158669	Alosa pseudoharengus
	Stenobrachius leucopsarus	GBIF:2405929	Electrona antarctica
	Curculionidae	NCBI:1938432	Curculionidae
	Philocheras sculptus	GBIF:4310089	Philocheras sculptus
	Euphysa flammea	GBIF:9215801	Euphysa flammea
	Chara	WD:Q5073689	Chara
	Sida cristallina	OTT:424901	Sida crystallina
	Barbus sp.	GBIF:5201936	Barbus
	Rineloricaria	NCBI:1748172	Rineloricaria
	Megalop	IRMNG:10704	Decapoda
	Prorocentrum	NCBI:947509	Prorocentrum
	Enhalus acoroides	GBIF:8530324	Enhalus acoroides
	Nymphaea spp.	OTT:583523	Nymphaea
	Alpheus japonica	GBIF:8086705	Alpheus
	Octopus membranaceus	IRMNG:10860538	Octopus membranaceus
	Spirulina	OTT:843526	Spirulina
	flies	NCBI:1187327	Diptera
	Terrestrial spiders	OTT:511967	Arachnida
	Nephtys spp.	WORMS:326112	Nephtys
	Terrestrial Ephemeroptera	OTT:5246630	Terrestrial
